;Samstag;Sonntag;Werktag
00:15;115;115;115
00:30;25;25;25
00:45;25;25;25
01:00;115;115;115
01:15;25;25;25
01:30;25;25;25
01:45;115;115;115
02:00;25;25;25
02:15;25;25;25
02:30;115;115;115
02:45;25;25;25
03:00;25;25;25
03:15;115;115;115
03:30;25;25;25
03:45;25;25;25
04:00;115;115;115
04:15;25;25;25
04:30;25;25;25
04:45;115;115;115
05:00;25;25;25
05:15;25;25;25
05:30;115;115;115
05:45;25;25;25
06:00;25;25;25
06:15;115;115;115
06:30;25;25;25
06:45;25;25;25
07:00;108,6;82,35;173,55
07:15;120;88,8;185,25
07:30;132,75;97,35;192,9
07:45;146,1;108,45;198
08:00;140;140;115
08:15;50;50;25
08:30;50;50;25
08:45;140;140;115
09:00;50;50;25
09:15;50;50;25
09:30;140;140;115
09:45;50;50;25
10:00;50;50;25
10:15;140;140;115
10:30;50;50;25
10:45;50;50;25
11:00;140;140;115
11:15;50;50;25
11:30;50;50;25
11:45;140;140;115
12:00;50;50;25
12:15;50;50;25
12:30;140;140;115
12:45;50;50;25
13:00;50;50;25
13:15;140;140;115
13:30;50;50;25
13:45;50;50;25
14:00;140;140;115
14:15;50;50;25
14:30;50;50;25
14:45;140;140;115
15:00;90;50;25
15:15;150;50;25
15:30;130;150;115
15:45;130;130;25
16:00;150;130;25
16:15;60;150;115
16:30;60;90;25
16:45;180;90;25
17:00;90;180;115
17:15;90;90;25
17:30;180;90;25
17:45;90;180;185,85
18:00;1600;1600;1600
18:15;300;300;300
18:30;246;185,1;208,35
18:45;2200;2200;2100
19:00;260;260;95
19:15;150;150;200
19:30;150;150;95
19:45;260;260;95
20:00;2070;2070;2100
20:15;2368,95;2342,1;255,6
20:30;313,55;291,2;252,45
20:45;306,5;288,5;247,95
21:00;298,4;284,75;243,45
21:15;290,15;280,85;240,15
21:30;282,65;277,25;237,6
21:45;276,65;273,95;235,2
22:00;283,5;280,95;232,2
22:15;223,35;218,1;227,85
22:30;224,4;214,5;221,85
22:45;224,1;208,8;213,75
23:00;219,75;199,8;203,55
23:15;209,7;186,6;190,8
23:30;195,45;170,7;176,25
23:45;179,25;153,75;160,65
00:00;163,5;137,4;144,75
