;Samstag;Sonntag;Werktag
00:15;116;116;116
00:30;26;26;26
00:45;26;26;26
01:00;116;116;116
01:15;26;26;26
01:30;26;26;26
01:45;116;116;116
02:00;26;26;26
02:15;26;26;26
02:30;116;116;116
02:45;26;26;26
03:00;26;26;26
03:15;116;116;116
03:30;26;26;26
03:45;26;26;26
04:00;116;116;116
04:15;26;26;26
04:30;26;26;26
04:45;116;116;116
05:00;26;26;26
05:15;26;26;26
05:30;116;116;116
05:45;26;26;26
06:00;26;26;26
06:15;116;116;116
06:30;26;26;26
06:45;26;26;26
07:00;102,3;73,65;168,6
07:15;116,25;80,85;182,7
07:30;131,85;90,6;192,75
07:45;147,9;103,2;199,35
08:00;150;150;26
08:15;60;60;26
08:30;60;60;116
08:45;150;150;26
09:00;60;60;26
09:15;60;60;116
09:30;150;150;26
09:45;60;60;26
10:00;60;60;116
10:15;150;150;26
10:30;60;60;26
10:45;60;60;116
11:00;150;150;26
11:15;60;60;26
11:30;60;60;116
11:45;150;150;26
12:00;260;260;26
12:15;260;260;116
12:30;150;150;26
12:45;60;60;26
13:00;60;60;116
13:15;150;150;26
13:30;60;60;26
13:45;60;60;116
14:00;150;150;26
14:15;60;60;26
14:30;60;60;116
14:45;150;150;26
15:00;140;140;26
15:15;140;140;116
15:30;160;160;26
15:45;90;90;26
16:00;90;90;116
16:15;180;180;26
16:30;100;100;26
16:45;110;110;116
17:00;200;200;26
17:15;110;110;26
17:30;110;110;116
17:45;200;200;177,45
18:00;1600;1600;1600
18:15;450;450;450
18:30;270,6;200,55;210,9
18:45;2210;2210;2140
19:00;280;280;200
19:15;190;190;110
19:30;190;190;110
19:45;280;280;200
20:00;2100;2100;2100
20:15;2423,6;2377,25;255,87
20:30;501,12;458,97;249,87
20:45;378,22;341,62;242,67
21:00;364,27;335,62;236,37
21:15;460,17;442,17;232,47
21:30;337,57;330,37;229,92
21:45;337,67;338,72;227,22
22:00;381,82;385,57;222,57
22:15;180,77;179,57;214,92
22:30;182,12;171,02;204,57
22:45;182,57;160,37;192,27
23:00;179,27;148,07;178,92
23:15;169,97;134,72;165,12
23:30;156,17;120,92;151,32
23:45;140,57;107,12;137,52
00:00;125,57;94,37;124,02
