Latitude (decimal degrees):	53.444
Longitude (decimal degrees):	10.084
Elevation (m):	4
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.6
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,1.92,2.07,0.0
20200101:0111,0.0,0.0,0.0,1.55,2.14,0.0
20200101:0211,0.0,0.0,0.0,1.68,2.07,0.0
20200101:0311,0.0,0.0,0.0,1.77,2.07,0.0
20200101:0411,0.0,0.0,0.0,1.78,2.07,0.0
20200101:0511,0.0,0.0,0.0,1.96,2.0,0.0
20200101:0611,0.0,0.0,0.0,1.75,2.0,0.0
20200101:0711,0.0,0.0,0.0,1.26,1.93,0.0
20200101:0811,5.89,22.35,3.03,0.95,1.93,0.0
20200101:0911,94.51,189.31,8.38,1.25,1.79,0.0
20200101:1011,150.62,290.92,11.97,1.77,1.79,0.0
20200101:1111,227.18,433.39,13.5,2.51,2.14,0.0
20200101:1211,154.85,299.44,12.84,2.94,2.34,0.0
20200101:1311,131.29,256.61,10.05,2.95,2.48,0.0
20200101:1411,33.67,78.95,5.36,2.41,2.34,0.0
20200101:1511,0.0,0.0,0.0,1.56,2.41,0.0
20200101:1611,0.0,0.0,0.0,0.8,2.41,0.0
20200101:1711,0.0,0.0,0.0,0.11,2.41,0.0
20200101:1811,0.0,0.0,0.0,-0.33,2.41,0.0
20200101:1911,0.0,0.0,0.0,-0.63,2.62,0.0
20200101:2011,0.0,0.0,0.0,-0.68,2.69,0.0
20200101:2111,0.0,0.0,0.0,-0.84,2.62,0.0
20200101:2211,0.0,0.0,0.0,-1.0,2.48,0.0
20200101:2311,0.0,0.0,0.0,-1.19,2.34,0.0
20200102:0011,0.0,0.0,0.0,-1.32,2.41,0.0
20200102:0111,0.0,0.0,0.0,-1.43,2.48,0.0
20200102:0211,0.0,0.0,0.0,-1.37,2.55,0.0
20200102:0311,0.0,0.0,0.0,-1.47,2.69,0.0
20200102:0411,0.0,0.0,0.0,-1.44,2.83,0.0
20200102:0511,0.0,0.0,0.0,-1.38,2.97,0.0
20200102:0611,0.0,0.0,0.0,-1.07,2.9,0.0
20200102:0711,0.0,0.0,0.0,-1.51,2.76,0.0
20200102:0811,40.24,90.99,3.06,-1.57,2.76,0.0
